Id,Account,Date,Attitude,Text
735983622361092096,@HillaryClinton,Thu May 26 23:59:04 +0000 2016,:),RT @HillaryPix: #ImWithHer #HillaryClinton #FeelTheBern @HillaryClinton @CupofJoeintheD @HillaryClinton @Darcman @Arthur59611540 https://t.…
735983621958426626,@HillaryClinton,Thu May 26 23:59:04 +0000 2016,:),RT @emoontx: @johnpodesta @HillaryClinton He'll sell out before than and leave others holding the bag....er...buckets to bail with.
735983619265728512,@HillaryClinton,Thu May 26 23:59:03 +0000 2016,:),@Bywatergal @blucaller @ryansiskow @BernieSanders @HillaryClinton Apparently the old rug is still running and scaring her and you?
735983610021306370,@HillaryClinton,Thu May 26 23:59:01 +0000 2016,:),@agearan @mitchellreports @HillaryClinton  Bush deleted 30k and Rice used a private server.Ppl arent playing the witch hunt game anymore
735983609279025152,@HillaryClinton,Thu May 26 23:59:01 +0000 2016,:),@Atticus_Amber @HillaryClinton @elizabethforma she's already doing that lol
735983605999079424,@HillaryClinton,Thu May 26 23:59:00 +0000 2016,:),RT @HillaryClinton: Trump's wall on the border would likely cost at least $25 billion.   Some things we could do instead: https://t.co/RDbk…
735983605462224896,@HillaryClinton,Thu May 26 23:59:00 +0000 2016,:),@KWkq7 @jamieleecurtis @iRhysTay @HillaryClinton Describes him to a tee.  #CONman
735983595114876928,@HillaryClinton,Thu May 26 23:58:57 +0000 2016,:),RT @nobarriers2016: .@HillaryClinton is fighting to make a real change in workers' lives. #ImWithHer https://t.co/x0vl3O893Q
735983593600745472,@HillaryClinton,Thu May 26 23:58:57 +0000 2016,:),RT @HillaryClinton: Couldn't agree more. https://t.co/gfk8NWAhIY
735983593021837312,@HillaryClinton,Thu May 26 23:58:57 +0000 2016,:),RT @HillaryClinton: Couldn't agree more. https://t.co/gfk8NWAhIY
735983589968490496,@HillaryClinton,Thu May 26 23:58:56 +0000 2016,:),"RT @RedRising11: ‼️ It's Over: Even MSNBC Turns On @HillaryClinton - ""Stop Lying, Stop Digging""‼️👏🏻👊🏻 #NeverHillary #Trump2016 #MAGA  https…"
735983588701655042,@HillaryClinton,Thu May 26 23:58:56 +0000 2016,:),RT @PeIicans: We'll see. @HillaryClinton https://t.co/ytj4kmDYOF
735983586843594752,@HillaryClinton,Thu May 26 23:58:55 +0000 2016,:),"RT @learjetter: .@MSNBC, 👏🏽👏🏽👏🏽  @HillaryClinton = Career Criminal  #TRUMP2016 @CarmineZozzora @ChristiChat @LindaSuhler @2ALAW    https://…"
